Year,Team,Name,Salary,nameFirst,nameLast,cleanFirst,cleanLast,playerID
2015,TEX,Carlos Corporan,975000,Carlos,Corporan,carlos,corporan,corpoca01
2015,TEX,Adam Rosales,900000,Adam,Rosales,adam,rosales,rosalad01
2015,TEX,Anthony Bass,725000,Anthony,Bass,anthony,bass,bassan01
2015,TEX,Shawn Tolleson,519700,Shawn,Tolleson,shawn,tolleson,tollesh01
2015,TEX,Robinson Chirinos,518290,Robinson,Chirinos,robinson,chirinos,chiriro01
2015,TEX,Sam Freeman,517000,Sam,Freeman,sam,freeman,freemsa01
2015,TEX,Tanner Scheppers,515200,Tanner,Scheppers,tanner,scheppers,schepta01
2015,TEX,Nick Martinez,515000,Nick,Martinez,nick,martinez,martini02
2015,TEX,Rougned Odor,513850,Rougned,Odor,rougned,odor,odorro01
2015,TEX,Phil Klein,509500,Phil,Klein,phil,klein,kleinph01
2015,TEX,Roman Mendez,509500,Roman,Mendez,roman,mendez,mendero01
2015,TEX,Alex Claudio,508500,Alex,Claudio,alex,claudio,claudal01
2015,TEX,Jon Edwards,508500,Jon,Edwards,jon,edwards,edwarjo01
2015,TEX,Ryan Rua,508500,Ryan,Rua,ryan,rua,ruary01
2015,TEX,Jake Smolinski,508500,Jake,Smolinski,jake,smolinski,smolija01
2015,TEX,Wandy Rodriguez,507000,Wandy,Rodriguez,wandy,rodriguez,rodriwa01
2016,TEX,Prince Fielder,24000000,Prince,Fielder,prince,fielder,fieldpr01
2016,TEX,Josh Hamilton,24000000,Josh,Hamilton,josh,hamilton,hamiljo01
2016,TEX,Cole Hamels,22500000,Cole,Hamels,cole,hamels,hamelco01
2016,TEX,Shin-Soo Choo,20000000,Shin-Soo,Choo,shinsoo,choo,choosh01
2016,TEX,Adrian Beltre,18000000,Adrian,Beltre,adrian,beltre,beltrad01
2016,TEX,Elvis Andrus,15333333,Elvis,Andrus,elvis,andrus,andruel01
2016,TEX,Yu Darvish,10000000,Yu,Darvish,yu,darvish,darviyu01
2016,TEX,Ian Desmond,8000000,Ian,Desmond,ian,desmond,desmoia01
2016,TEX,Colby Lewis,6000000,Colby,Lewis,colby,lewis,lewisco01
2016,TEX,Mitch Moreland,5700000,Mitch,Moreland,mitch,moreland,morelmi01
2016,TEX,Shawn Tolleson,3275000,Shawn,Tolleson,shawn,tolleson,tollesh01
2016,TEX,Martin Perez,3150000,Martin,Perez,martin,perez,perezma01
2016,TEX,Tom Wilhelmsen,3100000,Tom,Wilhelmsen,tom,wilhelmsen,wilheto01
2016,TEX,Justin Ruggiano,1650000,Justin,Ruggiano,justin,ruggiano,ruggiju01
2016,TEX,Robinson Chirinos,1550000,Robinson,Chirinos,robinson,chirinos,chiriro01
2016,TEX,Tony Barnette,1500000,Tony,Barnette,tony,barnette,barneto01
2016,TEX,Jake Diekman,1255000,Jake,Diekman,jake,diekman,diekmja01
2016,TEX,Chris Gimenez,975000,Chris,Gimenez,chris,gimenez,gimench01
2016,TEX,Tanner Scheppers,900000,Tanner,Scheppers,tanner,scheppers,schepta01
2016,TEX,Sam Dyson,525270,Sam,Dyson,sam,dyson,dysonsa01
2016,TEX,Rougned Odor,522700,Rougned,Odor,rougned,odor,odorro01
2016,TEX,Bryan Holaday,519000,Bryan,Holaday,bryan,holaday,holadbr01
2016,TEX,Keone Kela,518000,Keone,Kela,keone,kela,kelake01
2016,TEX,Delino DeShields,517300,Delino,DeShields,delino,deshields,deshide01
2016,TEX,Hanser Alberto,511500,Hanser,Alberto,hanser,alberto,alberha01
2016,TEX,Ryan Rua,510120,Ryan,Rua,ryan,rua,ruary01
2016,TEX,Phil Klein,509500,Phil,Klein,phil,klein,kleinph01
2016,TEX,Andrew Faulkner,508500,Andrew,Faulkner,andrew,faulkner,faulkan01
2016,TEX,Luke Jackson,508500,Luke,Jackson,luke,jackson,jackslu01
2011,TOR,Jose Bautista,8000000,Jose,Bautista,jose,bautista,bautijo01
2011,TOR,Juan Rivera,5250000,Juan,Rivera,juan,rivera,riverju01
2011,TOR,Adam Lind,5150000,Adam,Lind,adam,lind,lindad01
2011,TOR,Aaron Hill,5000000,Aaron,Hill,aaron,hill,hillaa01
2011,TOR,Frank Francisco,4000000,Frank,Francisco,frank,francisco,francfr01
2011,TOR,Jason Frasor,3500000,Jason,Frasor,jason,frasor,frasoja01
2011,TOR,Jon Rauch,3500000,Jon,Rauch,jon,rauch,rauchjo01
2011,TOR,Octavio Dotel,3000000,Octavio,Dotel,octavio,dotel,doteloc01
2011,TOR,Yunel Escobar,2900000,Yunel,Escobar,yunel,escobar,escobyu01
2011,TOR,Rajai Davis,2500000,Rajai,Davis,rajai,davis,davisra01
2011,TOR,Edwin Encarnacion,2500000,Edwin,Encarnacion,edwin,encarnacion,encared01
2011,TOR,Brandon Morrow,2300000,Brandon,Morrow,brandon,morrow,morrobr01
2011,TOR,Shawn Camp,2250000,Shawn,Camp,shawn,camp,campsh01
2011,TOR,John McDonald,1500000,John,McDonald,john,mcdonald,mcdonjo01
2011,TOR,Carlos Villanueva,1415000,Carlos,Villanueva,carlos,villanueva,villaca01
2011,TOR,Jose Molina,1200000,Jose,Molina,jose,molina,molinjo01
2011,TOR,Casey Janssen,1095000,Casey,Janssen,casey,janssen,janssca01
2011,TOR,Ricky Romero,1000000,Ricky,Romero,ricky,romero,romerri01
2011,TOR,Corey Patterson,900000,Corey,Patterson,corey,patterson,patteco01
2011,TOR,Jesse Litsch,830000,Jesse,Litsch,jesse,litsch,litscje01
2011,TOR,Jesse Carlson,450000,Jesse,Carlson,jesse,carlson,carlsje01
2011,TOR,Dustin McGowan,450000,Dustin,McGowan,dustin,mcgowan,mcgowdu01
2011,TOR,Brett Cecil,443100,Brett,Cecil,brett,cecil,cecilbr01
2011,TOR,Jo-Jo Reyes,439100,Jo-Jo,Reyes,jojo,reyes,reyesjo01
2011,TOR,Jayson Nix,438100,Jayson,Nix,jayson,nix,nija01
2011,TOR,David Purcey,436400,David,Purcey,david,purcey,purceda01
2011,TOR,Travis Snider,435800,Travis,Snider,travis,snider,snidetr01
2011,TOR,Marc Rzepczynski,429600,Marc,Rzepczynski,marc,rzepczynski,rzepcma01
2011,TOR,Mike McCoy,422300,Mike,McCoy,mike,mccoy,mccoymi01
2011,TOR,J. P. Arencibia,417400,J. P.,Arencibia,jp,arencibia,arencjp01
2011,TOR,Kyle Drabek,416000,Kyle,Drabek,kyle,drabek,drabeky01
2012,TOR,Jose Bautista,14000000,Jose,Bautista,jose,bautista,bautijo01
2012,TOR,Kelly Johnson,6375000,Kelly,Johnson,kelly,johnson,johnske01
2012,TOR,Ricky Romero,5250000,Ricky,Romero,ricky,romero,romerri01
2012,TOR,Adam Lind,5150000,Adam,Lind,adam,lind,lindad01
2012,TOR,Yunel Escobar,5000000,Yunel,Escobar,yunel,escobar,escobyu01
2012,TOR,Francisco Cordero,4500000,Francisco,Cordero,francisco,cordero,cordefr01
2012,TOR,Brandon Morrow,4000000,Brandon,Morrow,brandon,morrow,morrobr01
2012,TOR,Darren Oliver,4000000,Darren,Oliver,darren,oliver,oliveda01
2012,TOR,Jason Frasor,3750000,Jason,Frasor,jason,frasor,frasoja01
2012,TOR,Edwin Encarnacion,3500000,Edwin,Encarnacion,edwin,encarnacion,encared01
